chapter_no,section_no,section_name,id,english,urdu
chapter1,1.1,biology_and_its_branches,336286,"Why is it important to classify biology into different branches such as botany, zoology and microbiology? How does specialization benefit scientific research?",حیاتات کو مختلف شاخوں جیسے نباتات، ذوالوجی اور مائیکروبیالوجی میں درجہ بندی کرنا کیوں ضروری ہے؟ سائنسی تحقیق کو کس طرح سے فائدہ ہوتا ہے؟
chapter1,1.2,relation_of_biology_with_other_sciences,336279,"Link the study of Biology with that of Physics, Chemistry, Statistics, Geography, Economics and Computer Science.",بائیولوجی کی تعلیم کا فزکس، کیمسٹری اور سٹیٹکس، جغرافیہ ، اکانامکس اور کمپیوٹر سائنس سے تعلق جوڑیں۔
chapter1,1.2,relation_of_biology_with_other_sciences,336281,Science is a collaborative field in which scientists work together to share knowledge. Prove this statement by giving examples.,سائنس ایک تعاون کا میدان ہے جس میں سائنسدان علم کے تبادلے کےلیے ایک ساتھ کام کرتے ہیں۔ مثالوں کی مدد سے اس بیان کی صداقت ثابت کریں۔
chapter1,1.3,careers_in_biology,336280,Explain how the study of Biology can lead to different professional studies.,وضاحت کریں کہ کیسے بیالوجی کی تعلیم مختلف پیشہ ورانہ تعلیمات کی راہ ہموار کرسکتی ہے؟
chapter1,1.6,scientific_method,336283,What are the basic steps a scientist adopts in order to solve a scientific problem?,ایک سائنسدان سائنسی مسئلے کو حل کرنے کےلیے کون سے بنیادی مراحل اختیار کرتا ہے؟
chapter1,1.6,scientific_method,336287,How can a scientist apply the scientific method to confirm an observation that a certain plant species grow more quickly in shady places than in direct sunlight?,ایک سائنس دان کسی مشاہدے کی تصدیق کے لیے سائنسی طریقے کا اطلاق کیسے کرسکتا ہے کہ پلانٹ کی ایک مخصوص پر جاتی براہ راست سورج کی روشنی کے مقابلے میں مشکوک جگہوں پر زیادہ تیزی سے بڑھتی ہے؟
chapter1,1.7,theory_and_law_principal,336282,"How a hypothesis is converted to theory, law and principle?",ایک ہاہپوتھیس کو تھیوری، لا اور پرنسپل میں کیسے تبدیل کیا جاتا ہے؟
chapter1,1.8,malaria_an_example_of_biological_method,336284,Describe the work of different scientists in discovering the cause of malaria.,ملیریا کی وجہ دریافت کرنے میں مختلف سائنسدانوں کے کام کو تفصیلی بیان کریں۔
chapter1,1.8,malaria_an_example_of_biological_method,336285,Write a descriptive note on the experiments performed by Ross.,رَوس کے تجربات پر تفصیلی نوٹ لکھیں۔
chapter2,2.1,biodiversity,336456,Discuss biodiversity and its significance in maintaining the health of ecosystems.,ایکوسسٹم کی صحت کو برقرار رکھنے میں بائیو ڈائیورسٹی کی اہمیت بیان کریں۔
chapter2,2.2,classification,336458,Explain the importance of classification in biology and how it helps us understand the relationships between different organisms.,بائیولوجی میں کلاسیفیکیشن کی اہمیت کی وضاحت کریں اور یہ بتائیں کے یہ مختلف جانداروں کے تعلقات کو سمجھنے میں کس طرح مددگار ثابت ہوتی ہے۔
chapter2,2.3,taxanomic_rank,336459,"Describe the Linnaean system of classification in detail, stating the seven taxonomic ranks and their relationships.",لینین سسٹم کے کلاسیفیکیشن سسٹم کو تفصیل سے بیان کریں اور ٹیکسانومی کے سات درجات اور ان کے تعلقات بیان کریں۔
chapter2,2.3,taxanomic_rank,336464,How might placing an organism in the incorrect taxonomic group affect conservation or scientific studies?,غلط درجہ بندی گروپ میں حیاتیات کو کس طرح رکھنے سے تحفظ یا سائنسی مطالعات پر اثر پڑسکتا ہے؟
chapter2,2.5,domains_of_living_organism,336460,"Compare and contrast the domains Archaea and Bacteria, focusing on their key characteristics.",ڈومین آرکیا اور ڈومین بیکٹیریا کی اہم خصوصیات بیان کرتے ہوئے ان ڈومینز کا موازنہ کریں۔
chapter2,2.6,classification_of_domain_eukarya,336461,Describe the diagnostic characteristics of the four kingdoms within the domain Eukarya.,ڈومین یوکیریا کے چار کنگڈمز کی مخصوص خصوصیات بیان کریں۔
chapter2,2.7,status_of_virus_in_classification,336462,Discuss the challenges of classifying viruses within the traditional three domains of life.,جانداروں کے روایتی تین ڈومینز میں وائرس کی کلاسیفیکیشن کے چیلنجز پر بات کریں۔
chapter2,2.8,binomial_nomenclature,336463,Explain the rules and guidelines for suggesting scientific names to organisms.,جانداروں کو سائنسی نام دینے کے اصول اور رہنما نکات کی وضاحت کریں۔
chapter2,2.8,binomial_nomenclature,336465,Imagine you discover a new organisms. What steps would you take to classify and name it according to the principles of binomial nomenclature?,تصور کریں آپ کو ایک نیا حیاتیات دریافت ہوا ہے، بائیو نومیئل نام کے اصولوں کے مطابق آپ درجہ بندی کرنے اور اس کا نام لینے کےلیے آپ کیا اقدامات کریں گے؟
