chapter_no,section_no,section_name,id,question_en,question_ur,option_a_en,option_a_ur,option_b_en,option_b_ur,option_c_en,option_c_ur,option_d_en,option_d_ur,correct_option
chapter1,1.1,biology_and_its_branches,336263,Which branch of Biology focuses on the study of the structure and function of cells?,بیالوجی کی کون سی شاخ سیلز کی ساخت اور افعال کا مطالعہ کرتی ہے؟,Cytology,سائٹولوجی,Microbiology,مائیکروبیالوجی,Histology,ہسٹالوجی,Ecology,ایکولوجی,A
chapter1,1.1,biology_and_its_branches,336264,The study of the processes of heredity and variation in living organisms is known as:,جانداروں میں وراثت اور تغیریات کا مطالعہ کہلاتا ہے؟,Ecology,ایکولوجی,Genetics,جینیٹکس,Anatomy,ایناٹومی,Embryology,ایمبریولوجی,A
chapter1,1.1,biology_and_its_branches,336266,"Heart pumps blood, stomach digests food and kidneys excrete wastes. The statement comes from:",دل خون پمپ کرتا ہے، معدہ کھانا ہضم کرتا ہے اور گردے فضلہ نکالتے ہیں۔ یہ بیان کہاں سے آیا ہے؟,Physiology,فزیالوجی,Anatomy,ایناٹومی,Morphology,مارفولوجی,Histology,ہسٹالوجی,A
chapter1,1.1,biology_and_its_branches,336267,Which branch of Biology involves the study of the classification of organisms?,بائیولوجی کی کون سی شاخ میں جانداروں کی گروہ بندی ​​​​​​​کا مطالعہ شامل ہے؟,Taxonomy,ٹیکسونومی,Physiology,فزیالوجی,Paleontology,پیلے انٹالوجی,Biogeography,بائیو جغرافیائی,A
chapter1,1.1,biology_and_its_branches,347652,The study of functions of various organs of an organism is:,جانداروں کے مختلف اعضاء کے افعال کا مطالعہ ہے:,Morphology,مارفولوجی,Histology,ہسٹولوجی,Anatomy,ایناٹومی,Physiology,فزیالوجی,D
chapter1,1.1,biology_and_its_branches,336288,Study of internal physical structure of organisms is called:,جانداروں کی اندرونی جسمانی ساخت کا مطالعہ کہلاتا ہے:,Anatomy,ایناٹومی,Physiology,فزیالوجی,Embryology,ایمبر یو لوجی,Genetics,جینیٹکس,A
chapter1,1.1,biology_and_its_branches,347653,Histology is the microscopic study of:,ہسٹولوجی کا مائیکروسکوپک مطالعہ ہے:,Tissues,ٹشوز,Cells,سیلز,Fossils,فوسلز,Plants,پودے,A
chapter1,1.1,biology_and_its_branches,336289,"In embryology, scientist study:",ایمبر یالوجی میں سائنسدان مطالعہ کرتے ہیں:,Organ and tissue formation,اعضاء​​​​​​​ اور ٹشوز کا بننا,Identify birth defects,پیدائشی نقائص کی نشاندہی,Developed medical treatment,طبی علاج کے طریقے تیار کرنا,All of the above,مندرجہ بالا تمام,D
chapter1,1.1,biology_and_its_branches,347654,Paleontology is the study of:,پیلےانٹولوجی مطالعہ ہے:,Environment,ماحول,Development,نشوونما,Fossils,فوسلز,Animals,جانوروں,C
chapter1,1.1,biology_and_its_branches,336290,Remains of plants and animals that were preserved in rocks and other geological formations is called:,پودوں اور جانوروں کی باقیات جو چٹانوں اور دیگر ارضیاتی تشکیلوں میں محفوظ ہیں، کہلاتے ہیں:,Pathogens,پیتھوجنز,Toxins,ٹاکسنز,Fossils,فوسلز,Pollutants,پالیوٹینٹس,C
chapter1,1.1,biology_and_its_branches,347655,The other name of environmental biology is:,ماحولیاتی بائیو لوجی کا دوسرا نام ہے:,Ecology,ایکالوجی,Biotechnology,بائیو ٹیکنالوجی,Microbiology,مائیکرو بائیو لوجی,Cell biology,سیل بائیو لوجی,A
chapter1,1.1,biology_and_its_branches,336291,The examination of fossils helps scientists to know the:,فوسلز کا معائنہ سائنسدانوں کو یہ جاننے میں مدد کرتا ہے:,The age of earth,زمین کی عمر,About climate,آب وہوا کے بارے میں,Evolutionary history,ارتقائی تاریخ,About drugs,ادویات کے بارے میں,C
chapter1,1.1,biology_and_its_branches,347656,Microbiology is the study of:,مائیکرو بائیو لوجی مطالعہ ہے:,Fungi,فنجائی,Animals,جانور,Plants,پودے,Microorganisms,مائیکرو آ رگنزمز,D
